Rating,1 Week Change,Team,Division,Predicted Record_Wins,Predicted Record_Losses,Predicted Record_Ties,Regular Season Result_Win Division,Regular Season Result_Make Playoffs,Postseason Odds_Make Div Round,Postseason Odds_Make Conf Champ,Postseason Odds_Make Super Bowl,Postseason Odds_Win Super Bowl,Week
5.6,--,Kansas City,AFC West,10.2,5.8,0.0,49%,70%,54%,32%,19%,10%,1
5.4,--,New England,AFC East,10.9,5.1,0.0,71%,81%,66%,39%,21%,12%,1
5.2,--,New Orleans,NFC South,10.1,5.9,0.0,48%,66%,51%,30%,18%,9%,1
4.5,--,LA Chargers,AFC West,9.9,6.1,0.0,39%,63%,45%,25%,14%,7%,1
3.9,--,LA Rams,NFC West,9.6,6.4,0.0,46%,61%,45%,25%,13%,7%,1
3.2,--,Philadelphia,NFC East,9.9,6.1,0.0,54%,66%,49%,26%,13%,6%,1
2.7,--,Pittsburgh,AFC North,9.4,6.6,0.0,40%,56%,39%,20%,10%,5%,1
2.1,--,Chicago,NFC North,8.7,7.3,0.0,31%,46%,31%,16%,8%,4%,1
1.8,--,Green Bay,NFC North,8.7,7.3,0.0,29%,45%,30%,15%,7%,3%,1
1.7,--,Atlanta,NFC South,8.4,7.6,0.0,23%,40%,26%,13%,7%,3%,1
1.7,--,Houston,AFC South,8.4,7.6,0.0,32%,43%,29%,14%,6%,3%,1
1.5,--,Seattle,NFC West,8.5,7.5,0.0,28%,42%,28%,13%,6%,3%,1
1.5,--,Minnesota,NFC North,8.5,7.5,0.0,27%,42%,28%,13%,6%,3%,1
1.4,--,Baltimore,AFC North,8.7,7.3,0.0,28%,45%,29%,14%,7%,3%,1
1.0,--,Dallas,NFC East,8.7,7.3,0.0,31%,46%,30%,14%,6%,3%,1
1.0,--,Cleveland,AFC North,8.8,7.2,0.0,28%,46%,29%,13%,6%,3%,1
0.5,--,Carolina,NFC South,8.1,7.9,0.0,19%,35%,22%,10%,5%,2%,1
0.3,--,Tennessee,AFC South,7.8,8.2,0.0,25%,35%,22%,10%,4%,2%,1
0.3,--,Jacksonville,AFC South,7.9,8.1,0.0,25%,36%,22%,10%,4%,2%,1
0.1,--,San Francisco,NFC West,8.0,8.0,0.0,22%,36%,22%,10%,4%,2%,1
-0.8,--,Indianapolis,AFC South,7.4,8.6,0.0,19%,28%,16%,7%,3%,1%,1
-1.8,--,Denver,AFC West,6.8,9.2,0.0,8%,19%,10%,4%,2%,1%,1
-1.9,--,Tampa Bay,NFC South,6.9,9.1,0.0,10%,19%,11%,4%,2%,1%,1
-2.0,--,Detroit,NFC North,7.1,8.9,0.0,13%,23%,13%,5%,2%,1%,1
-2.7,--,NY Jets,AFC East,7.4,8.6,0.0,14%,27%,14%,5%,2%,1%,1
-2.8,--,Buffalo,AFC East,7.3,8.7,0.0,13%,26%,13%,5%,2%,1%,1
-4.0,--,Oakland,AFC West,5.9,10.1,0.0,4%,10%,5%,2%,1%,0%,1
-5.1,--,NY Giants,NFC East,6.2,9.8,0.0,9%,14%,7%,2%,1%,0%,1
-5.5,--,Washington,NFC East,5.8,10.2,0.0,6%,11%,5%,2%,1%,0%,1
-5.7,--,Arizona,NFC West,5.4,10.6,0.0,4%,8%,4%,1%,0%,0%,1
-5.8,--,Cincinnati,AFC North,5.7,10.3,0.0,5%,10%,4%,1%,0%,0%,1
-7.6,--,Miami,AFC East,4.9,11.1,0.0,2%,6%,2%,1%,0%,0%,1
7.6,2.3,New England,AFC East,12.0,4.0,0.0,84%,92%,79%,50%,29%,17%,2
6.7,1.1,Kansas City,AFC West,10.8,5.2,0.0,56%,78%,60%,35%,19%,11%,2
5.3,3.9,Baltimore,AFC North,10.7,5.3,0.0,66%,78%,60%,32%,16%,9%,2
4.8,-0.4,New Orleans,NFC South,10.3,5.7,0.0,61%,72%,56%,32%,18%,9%,2
4.3,-0.2,LA Chargers,AFC West,10.0,6.0,0.0,36%,66%,44%,22%,11%,6%,2
4.1,0.3,LA Rams,NFC West,10.2,5.8,0.0,48%,68%,50%,28%,15%,7%,2
3.5,3.1,Tennessee,AFC South,9.8,6.2,0.0,50%,64%,45%,21%,10%,5%,2
2.8,1.0,Green Bay,NFC North,9.6,6.4,0.0,41%,59%,41%,21%,11%,5%,2
2.8,1.2,Minnesota,NFC North,9.4,6.6,0.0,37%,56%,39%,20%,10%,5%,2
2.6,-0.6,Philadelphia,NFC East,9.9,6.1,0.0,51%,65%,46%,23%,11%,5%,2
2.1,0.4,Houston,AFC South,8.0,8.0,0.0,24%,37%,23%,10%,4%,2%,2
1.9,0.8,Dallas,NFC East,9.3,6.7,0.0,40%,56%,37%,18%,9%,4%,2
1.6,1.4,San Francisco,NFC West,9.2,6.8,0.0,29%,51%,32%,16%,8%,3%,2
1.1,-1.0,Chicago,NFC North,7.6,8.4,0.0,13%,28%,17%,8%,4%,2%,2
0.6,-0.9,Seattle,NFC West,8.3,7.7,0.0,19%,36%,22%,10%,5%,2%,2
0.5,-1.2,Atlanta,NFC South,7.5,8.5,0.0,17%,28%,17%,7%,3%,1%,2
0.5,-2.3,Pittsburgh,AFC North,8.2,7.8,0.0,20%,37%,20%,8%,3%,1%,2
0.2,-0.3,Carolina,NFC South,7.5,8.5,0.0,17%,27%,16%,7%,3%,1%,2
-0.6,0.2,Indianapolis,AFC South,7.3,8.7,0.0,14%,24%,13%,4%,2%,1%,2
-0.8,-1.1,Jacksonville,AFC South,7.0,9.0,0.0,12%,21%,11%,4%,1%,1%,2
-2.0,-0.1,Detroit,NFC North,6.5,8.5,1.0,10%,19%,11%,4%,2%,1%,2
-2.1,-3.1,Cleveland,AFC North,6.8,9.2,0.0,9%,18%,9%,3%,1%,0%,2
-2.4,0.4,Buffalo,AFC East,8.1,7.9,0.0,12%,33%,15%,5%,2%,1%,2
