week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,log_prob
Arizona,Carolina,Seattle,Houston,New England,Buffalo,Cincinnati,Dallas,NY Giants,Baltimore,Indianapolis,Green Bay,Denver,Minnesota,Kansas City,San Diego,Pittsburgh,-3.9604388972447016
Arizona,Carolina,Seattle,Houston,New England,Buffalo,Cincinnati,Dallas,NY Giants,Baltimore,Indianapolis,Green Bay,Denver,Minnesota,Kansas City,Los Angeles,Pittsburgh,-3.9664908218092196
Seattle,Carolina,Oakland,Houston,New England,Arizona,Cincinnati,Green Bay,NY Giants,Baltimore,Indianapolis,Buffalo,Denver,Minnesota,Kansas City,San Diego,Pittsburgh,-3.9689753130581042
Arizona,Carolina,Seattle,Houston,New England,Green Bay,Cincinnati,Dallas,NY Giants,Baltimore,Indianapolis,Buffalo,Denver,Minnesota,Kansas City,San Diego,Pittsburgh,-3.9708218011989347
Seattle,Carolina,Oakland,Houston,New England,Arizona,Cincinnati,Green Bay,NY Giants,Baltimore,Indianapolis,Buffalo,Denver,Minnesota,Kansas City,Los Angeles,Pittsburgh,-3.9750272376226223
Arizona,Carolina,Seattle,Houston,New England,Green Bay,Cincinnati,Dallas,NY Giants,Baltimore,Indianapolis,Buffalo,Denver,Minnesota,Kansas City,Los Angeles,Pittsburgh,-3.9768737257634528
Arizona,Carolina,Oakland,Houston,New England,Seattle,Cincinnati,Green Bay,NY Giants,Baltimore,Indianapolis,Buffalo,Denver,Minnesota,Kansas City,San Diego,Pittsburgh,-3.9798939814115193
Arizona,Carolina,Oakland,Houston,New England,Seattle,Cincinnati,Green Bay,NY Giants,Baltimore,Indianapolis,Buffalo,Denver,Minnesota,Kansas City,Los Angeles,Pittsburgh,-3.9859459059760374
Seattle,Carolina,Oakland,Houston,New England,Arizona,Cincinnati,Dallas,Kansas City,Baltimore,Indianapolis,Green Bay,Denver,Minnesota,Buffalo,San Diego,Pittsburgh,-3.9890563227487426
Arizona,Carolina,Seattle,Houston,New England,Buffalo,Cincinnati,Oakland,NY Giants,Baltimore,Indianapolis,Green Bay,Denver,Minnesota,Kansas City,San Diego,Pittsburgh,-3.9937336322900645
